Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Salesman and affiliate orders,Chrome 66.0.3359.181,,2018-05-24 14:07:38,2018-05-24 14:09:39,2m - 1.455s,FAILED
,,,,,,
Test Cases/Affiliate - BuyVTRCaDealer,Chrome 66.0.3359.181,,2018-05-24 14:07:38,2018-05-24 14:08:02,23.625s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:07:39,2018-05-24 14:07:43,3.722s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:07:43,2018-05-24 14:07:44,1.177s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, AffiliateURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:07:44,2018-05-24 14:07:44,0.029s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:07:44,2018-05-24 14:07:47,3.028s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:07:47,2018-05-24 14:07:47,0.097s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:07:47,2018-05-24 14:07:48,0.071s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:07:48,2018-05-24 14:07:48,0.048s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:07:48,2018-05-24 14:07:48,0.056s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:07:48,2018-05-24 14:07:48,0.269s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:07:48,2018-05-24 14:07:48,0.117s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:07:48,2018-05-24 14:07:49,0.562s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:07:49,2018-05-24 14:07:49,0.062s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:07:49,2018-05-24 14:07:49,0.188s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:07:49,2018-05-24 14:07:49,0.062s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:07:49,2018-05-24 14:07:49,0.011s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:07:49,2018-05-24 14:07:49,0.004s,PASSED
"Statement - Email = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""affiliate"", rnd, ""@mailinator.com""])",Chrome 66.0.3359.181,,2018-05-24 14:07:49,2018-05-24 14:07:49,0.004s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:07:49,2018-05-24 14:07:53,4.449s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:07:53,2018-05-24 14:07:54,0.129s,PASSED
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:07:54,2018-05-24 14:07:54,0.003s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:07:54,2018-05-24 14:07:54,0.086s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:07:54,2018-05-24 14:07:54,0.115s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:07:54,2018-05-24 14:07:58,4.224s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-24 14:07:58,2018-05-24 14:07:59,0.260s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:07:59,2018-05-24 14:07:59,0.051s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:07:59,2018-05-24 14:07:59,0.056s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:07:59,2018-05-24 14:08:00,1.574s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:08:00,2018-05-24 14:08:00,0.061s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:08:00,2018-05-24 14:08:00,0.052s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.181,,2018-05-24 14:08:00,2018-05-24 14:08:00,0.061s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:08:00,2018-05-24 14:08:00,0.039s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:08:00,2018-05-24 14:08:01,0.865s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:08:01,2018-05-24 14:08:01,0.044s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:08:01,2018-05-24 14:08:01,0.059s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:08:01,2018-05-24 14:08:01,0.039s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-24 14:08:01,2018-05-24 14:08:02,0.693s,PASSED
,,,,,,
Test Cases/Affiliate - BuyVTRConsumer,Chrome 66.0.3359.181,,2018-05-24 14:08:02,2018-05-24 14:08:24,21.469s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:08:03,2018-05-24 14:08:05,2.312s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:08:05,2018-05-24 14:08:06,1.152s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, AffiliateURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:08:06,2018-05-24 14:08:06,0.002s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:08:06,2018-05-24 14:08:10,3.531s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:08:10,2018-05-24 14:08:10,0.107s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:08:10,2018-05-24 14:08:10,0.058s,PASSED
