Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Salesman and affiliate orders,Chrome 66.0.3359.181,,2018-05-24 14:20:48,2018-05-24 14:24:40,3m - 51.527s,PASSED
,,,,,,
Test Cases/Affiliate - BuyVTRCaDealer,Chrome 66.0.3359.181,,2018-05-24 14:20:49,2018-05-24 14:21:18,29.290s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:20:50,2018-05-24 14:20:55,4.560s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:20:55,2018-05-24 14:20:56,1.197s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, AffiliateURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:20:56,2018-05-24 14:20:56,0.092s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:20:56,2018-05-24 14:20:59,3.096s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:20:59,2018-05-24 14:20:59,0.194s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:20:59,2018-05-24 14:20:59,0.082s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:20:59,2018-05-24 14:20:59,0.072s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:20:59,2018-05-24 14:20:59,0.075s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:20:59,2018-05-24 14:21:00,0.474s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:00,2018-05-24 14:21:00,0.149s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:21:00,2018-05-24 14:21:01,0.593s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:21:01,2018-05-24 14:21:01,0.103s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:21:01,2018-05-24 14:21:01,0.268s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:21:01,2018-05-24 14:21:01,0.099s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:21:01,2018-05-24 14:21:01,0.019s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:21:01,2018-05-24 14:21:01,0.005s,PASSED
